순위,종목코드,종목명,시가총액(조),시가총액비율(%),1순위테마,2순위테마,3순위테마
46,T,AT&T Inc.,258.322,0.435,5G,통신서비스,미디어
47,BLK,"BlackRock, Inc.",254.61,0.429,자산운용,ETF,지속가능투자
48,INTU,Intuit Inc.,254.021,0.428,회계소프트웨어,핀테크,클라우드서비스
49,LRCX,Lam Research Corporation,247.886,0.417,반도체제조장비,반도체산업,AI
50,QCOM,QUALCOMM Incorporated,246.968,0.416,5G,반도체,IoT
51,NEE,"NextEra Energy, Inc.",241.697,0.407,재생에너지,전력망,지속가능성
52,VZ,Verizon Communications Inc.,236.38,0.398,5G,통신서비스,IoT
53,BKNG,Booking Holdings Inc.,236.101,0.397,온라인여행,여행재개,디지털서비스
54,TXN,Texas Instruments Incorporated,230.795,0.389,반도체,전자기기,IoT
55,TXN,Texas Instruments Incorporated,230.662,0.388,반도체,전자기기,IoT
56,BA,The Boeing Company,230.139,0.387,항공기제작,방산,우주탐사
57,AMGN,Amgen Inc.,223.248,0.376,바이오제약,유전자치료,면역치료
58,ISRG,"Intuitive Surgical, Inc.",221.785,0.373,로봇수술,의료기술,헬스케어혁신
59,ISRG,"Intuitive Surgical, Inc.",221.785,0.373,로봇수술,의료기술,헬스케어
60,TJX,"The TJX Companies, Inc.",216.921,0.365,소매,할인소매,소비자경기
61,ACN,Accenture plc,212.41,0.358,디지털전환,컨설팅,클라우드서비스
62,SPGI,S&P Global Inc.,210.201,0.354,금융정보,데이터분석,ESG
63,ETN,Eaton Corporation plc,208.743,0.351,전력관리,지속가능성,자동화
64,DHR,Danaher Corporation,206.271,0.347,헬스케어,생명과학,자동화
65,GILD,"Gilead Sciences, Inc.",204.894,0.345,바이오제약,항바이러스치료,면역요법
66,ADBE,Adobe Inc.,201.867,0.34,디지털콘텐츠,클라우드서비스,AI
67,PFE,Pfizer Inc.,200.586,0.338,백신,바이오의약품,헬스케어
68,SYK,Stryker Corporation,198.734,0.335,의료기기,로봇수술,헬스케어혁신
69,KLAC,KLA Corporation,192.954,0.325,반도체장비,제조자동화,AI
70,UNP,Union Pacific Corporation,192.609,0.324,물류,철도운송,인프라
71,LOW,"Lowe's Companies, Inc.",184.233,0.31,홈개선,DIY,소매업
72,HON,Honeywell International Inc.,181.423,0.305,산업자동화,항공우주,에너지효율
73,DE,Deere & Company,173.998,0.293,농업기계,자동화,지속가능성
74,MDT,Medtronic plc,173.506,0.292,의료기기,헬스케어기술,원격의료
75,LMT,Lockheed Martin Corporation,163.958,0.276,국방,항공우주,첨단기술
76,ADP,"Automatic Data Processing, Inc.",161.988,0.273,인사관리,클라우드서비스,자동화
77,COP,ConocoPhillips,157.227,0.265,석유,천연가스,에너지전환
78,CMCSA,Comcast Corporation,155.021,0.261,스트리밍서비스,케이블TV,5G
79,PLD,"Prologis, Inc.",149.749,0.252,물류,산업용부동산,전자상거래
80,SO,The Southern Company,149.448,0.252,전력공급,재생에너지,인프라
81,NKE,"NIKE, Inc.",140.94,0.237,스포츠웨어,지속가능성,디지털전환
82,HCA,"HCA Healthcare, Inc.",137.339,0.231,헬스케어,디지털헬스,의료서비스
83,DUK,Duke Energy Corporation,136.988,0.231,재생에너지,전력망,지속가능성
84,CME,CME Group Inc.,134.556,0.227,파생상품,금융기술,데이터분석
85,SBUX,Starbucks Corporation,128.862,0.217,프리미엄커피,글로벌확장,지속가능성
86,ICE,"Intercontinental Exchange, Inc.",126.516,0.213,금융기술,데이터분석,거래소운영
87,GD,General Dynamics Corporation,125.97,0.212,국방,항공우주,사이버보안
88,NOC,Northrop Grumman Corporation,125.181,0.211,국방,항공우주,사이버보안
89,SNPS,"Synopsys, Inc.",123.133,0.207,반도체설계,EDA소프트웨어,AI
90,SHW,The Sherwin-Williams Company,116.847,0.197,건축자재,친환경제품,산업용코팅
91,MMM,3M Company,114.544,0.193,산업재,헬스케어,지속가능성
92,CI,The Cigna Group,114.27,0.192,헬스케어,보험,디지털헬스
93,ELV,"Elevance Health, Inc.",111.672,0.188,헬스케어,보험,디지털헬스
94,MDLZ,"Mondelez International, Inc.",111.336,0.187,스낵,건강식품,글로벌화
95,EQIX,"Equinix, Inc.",109.508,0.184,데이터센터,클라우드,디지털인프라
96,AON,Aon plc,108.922,0.183,보험,리스크관리,데이터분석
97,ECL,Ecolab Inc.,108.754,0.183,물관리,위생관리,지속가능성
98,CTAS,Cintas Corporation,106.964,0.18,유니폼서비스,안전관리,HR솔루션
99,PNC,"The PNC Financial Services Group, Inc.",105.362,0.177,은행업,디지털뱅킹,자산관리
100,EMR,Emerson Electric Co.,103.692,0.175,자동화,산업IoT,에너지효율
